都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,定休日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
041009,0000000255,宮城県,仙台市,仙台づけ丼,センダイヅケドン,,,宮城県仙台市,,38.268009,140.869614,各スポットによって異なります,,,各スポットによって異なります,各スポットによって異なります,,"水深100m程のなだらかに広がる海底。岩礁地帯や砂場といった変化に富んだ環境、さらに北上暖水、流れ込む大河川などの影響で発達した沿岸水。魚の生息に適した仙台湾付近は、魚介類の種類が他地域に比べて多く、これまでに確認された魚類は約260種。白身魚の代表種である、ヒラメ・カレイ・スズキ・鯛などもたくさん捕れます。そうした旬の白身魚のヅケと、宮城の米を使ってつくられるのが宮城・仙台の新名物「仙台づけ丼」です。他では味わえない白身魚のヅケがふんだんに盛られた丼に箸をのばせば、新鮮！美味しい！ヘルシー！しかも安い！と叫びたくなるはず。まるごと仙台の美味しさがつまった、まさに絶品の丼です。<style type=""text/css"">
p, li { white-space: pre-wrap; }
</style>※最新情報は公式サイト等でご確認ください。",,各スポットによって異なります,各スポットによって異なります,,"宮城県寿司商生活衛生同業組合
","022-265-3814
",,,,http://www.miyagi-sushi.com/,
044211,0000000256,宮城県,大和町,滝ノ原温泉「ちどり荘」,タキノハラオンセン「チドリソウ」,,,宮城県黒川郡大和町宮床字高山１８?１３,,38.406212,140.81221,,,,日帰り入浴：１０：００?２０：３０,各種プランお問い合わせください,,大和町一体を統治していた伊達政宗の孫・宗房公がお狩場として駆け巡っていた高山。狩りのあと、湧き出る湯に浸かり疲れを癒したと伝えられている秘湯。浴室からは四季折々の風情を楽しむことができます。泉質：低張性アルカリ性鉱泉宿泊プランはお問い合わせください。,,東北自動車道大和ICより車で約１５分,あり,,滝ノ原温泉「ちどり荘」,０２２?３４６?２５６５,,,,http://www.chidoriso.com/spa.html,
044211,0000000257,宮城県,大和町,台ヶ森温泉「山野川旅館」,ダイガモリオンセン「ヤマノカワリョカン」,,,宮城県黒川郡大和町吉田台ヶ森１３,,38.4384307905932,140.81013882479277,,,,,各種プランお問い合わせください。,,七ツ森近く、緑と渓流に囲まれた閑静な山里に位置する温泉宿。江戸時代、半身不随の武士の病を治した伝説をもつ霊泉。温泉郷としての歴史は３００年にわたり、１９１３年にはドイツの万国温泉質展覧会において銀盃受賞の栄冠に輝いたと伝えられる。泉質：含硫黄&minus;ナトリウム・カルシウム&minus;塩化物（含S-Na-Ca-Cl）泉　　 &nbsp;等張性弱アルカリ性鉱泉宿泊プランはお問い合わせください。,,東北自動車道ICより車で約15分,あり,,台ヶ森温泉「山野川旅館」,０２２?３４２?２０５７,,,,https://yamanokawa.jp/,
042099,0000000258,宮城県,多賀城市,興井（沖の井、沖の石）,オキノイ,,,宮城県多賀城市八幡,,38.290775,141.011948,,,,,,,末の松山の南に位置し、直径20メートルほどの池の中に岩が露出しています。興井は、『千載和歌集』にある二条院讃岐の歌や『古今和歌集』にある小野小町の歌などで有名になった歌枕です。江戸時代には、仙台藩4代藩主伊達綱村の時に歌名所として再整備されました。（国名勝、日本遺産）,,"JR仙石線 多賀城駅から徒歩10分
三陸自動車道 仙台港北I.C.から車で5分",約10台,,"史都多賀城観光案内所
",022-364-5901,,,,https://www.tagakan.jp/category/detail.php?id=22,
042099,0000000259,宮城県,多賀城市,多賀城跡あやめ園,タガジョウアトアヤメエン,,,宮城県多賀城市市川立石,,38.302197,140.989624,,,,,,,特別史跡「多賀城跡」の一角にあり、毎年6月には東北随一800種300万本のあやめが優雅に咲き誇ります。毎年、6月中旬から下旬にかけて「多賀城跡あやめまつり」が開催され、期間中の土・日曜日には郷土芸能などのステージイベントが行われるほか、野だて、おみやげ品の販売などが行われ家族みんなで楽しめます。幻想的な光に包まれるライトアップも人気です。,,"東北本線 国府多賀城駅から徒歩約5分
仙石線 多賀城駅からユーアイバスで約10分
三陸自動車道 多賀城I.C.から車で約5分",約50台,,"多賀城跡あやめまつり実行委員会事務局
史都多賀城観光案内所","022-368-1141
022-364-5901",,,,https://www.city.tagajo.miyagi.jp/kanko/shiseki/kanko/ayamematsuri/ayamematuri.html,
041009,0000000260,宮城県,仙台市,仙台大観音,センダイダイカンノン,,,宮城県仙台市泉区実沢字中山南31番地の36,,38.299706,140.823502,無休,,,"参拝時間
　 土日祝祭日：午前10時～午後4時（閉門時間）
　 平日：午前10時～午後3時30分（閉門時間",胎内拝観料500円(高校生以上),,胎内には、「龍の口」の形をした入り口(昇竜、登竜門で出世の道)よりお入りいただきます。内部は12層に分かれ、エレベーターでお登りいただけます。1層部分には十二神将や三十三観音、水子観音を祀った水子供養殿があり、3層～11層分には108体の仏像が安置されています。心殿には御心体、お触り布袋様をまつり、展望窓(前、後側にそれぞれ2ヵ所)より、仙台市内、太平洋が一望に見渡すことが出来ます。仙台大観音は仙台駅の正面を向いています。※最新情報は公式サイト等でご確認ください。,,"JR仙台駅よりタクシー30分/地下鉄八乙女駅よりタクシー15分/バス仙台駅発14番のりば「泉ビレジ行き」仙台大観音前下車徒歩1分/東北自動車道仙台宮城ICより泉中央方面へ10分
","普通自動車:あり
大型自動車:あり(大型バス可)",,真言宗智山派 新界山 大観密寺,022-278-3331(代),,,,http://www.daikannon.com/,
044067,0000000261,宮城県,利府町,利府町観光協会観光梨園,リフチョウカンコウキョウカイカンコウナシエン,,,宮城県宮城郡利府町加瀬字男鹿島台,,38.322922,140.984177,"開園期間中は無休
※大雨等天候不良による時短・閉園有",,,10：00～15：00（最終入園14：30）,大人・子供・団体　1人　550円（梨２個分含む）,,利府町といえば「梨」！甘くてみずみずしい梨のもぎとり体験をしてみませんか？梨の直売も行っていますので、お土産にどうぞ！新型コロナウイルス感染症の影響により、完全予約制としております。詳細は利府町観光協会ホームページにてご確認ください。,,"仙台から車で30分
三陸自動車道・利府塩釜ＩＣから車で3分
ＪＲ東北本線利府駅より徒歩20分",10台程度,,利府町観光協会,"022-356-3678
（平日9：00～16：00）",,,,http://www.rifukankoukyoukai.com/,
044067,0000000262,宮城県,利府町,伝統漁業体験,デントウギョギョウタイケン,,,宮城県宮城郡利府町赤沼字須賀98番地,,38.342316,141.032181,無休,,,体験は平均1時間～2時間程度,"大人　　６，６００円（日帰り体験漁）
子ども　５，５００円（日帰り体験漁）
※その他コースによって異なります。お問い合わせください。",,ハーバーハウスかなめは、島めぐりや体験漁、マリンレジャーなどが楽しめる民宿です。利府町の海は「表松島」と呼ばれ、島々に囲まれているため一年中波が穏やかです。「春」は目指せ！幻の高級魚ホシガレイ！「夏」はワタリガニ大量！「秋」はハゼ釣り！冬は表松島三大海藻のワカメ・アカモク・アオサ狩り！釣った魚や収穫した海藻は、天ぷらやお刺身にしていただきましょう！利府町の海を知り尽くしたキャプテン櫻井と一緒に海の冒険に出かけましょう！,,"三陸自動車道　利府中ＩＣより車で5分
送迎バスもあります。",20台程度,,ハーバーハウスかなめ,022-366-7006,,,,http://www.harbourkaname.com/fisheery.html,
044211,0000000263,宮城県,大和町,まほろばホール（大和町ふれあい文化創造センター）,マホロバホール（タイワチョウフレアイブンカソウゾウセンター）,,,宮城県黒川郡大和町吉岡南二丁目４?１４,,38.442787,140.88092,"第１、第３火曜日
年末年始",,,９：００?２１：３０,,,まほろばホールは香り高い教育文化のまちづくりの拠点として整備されたものです。メインのホール棟に７０２席のワンスロープ型大ホールおよび多目的に利用できる小ホールを備え、大小のコンサート、講演会などが催されます。また、大和町出身で世界的に活躍した彫刻家・佐藤忠良の作品ギャラリー「佐藤忠良ギャラリー」があり、彫刻や版画、スケッチなどを見ることができます。大和町の一大イベントである「まほろば夏まつり」や「お立ち酒全国大会」などもここで開催されます。,,東北自動車道大和ICより車で約１０分,,,まほろばホール,０２２?３４４?４４０１,,,,http://mahoroba-taiwa.jp/,
044067,0000000264,宮城県,利府町,陶芸体験,トウゲイタイケン,,,宮城県宮城郡利府町菅谷台３丁目24-3,,38.331524,140.951645,月曜日,,,9：30～20：30（完全予約制）,"マグカップ作り　1,500円～
電動ろくろ体験　4,000円～　他",,初めての方も楽しんでいただける陶芸教室です。焼きあがった作品は、地方配送も可能です。（別料金）絵付板皿、マグカップ、シーサー作りのほか、電動ろくろ体験も人気です！詳細はお問い合わせ願います。,,"■車でお越しの場合
県道８号線（利府街道）から県総合運動公園（グランディ２１）を目指して来てください。
石窯パン工房ばーすでぃがある交差点は直進し、次の信号を右折。
１つ目の十字路を右折、すぐまた右折。T字路を左折。
「菅谷台三丁目」バス停のすぐ後ろの建物です。（駐車場５台完備）

■JR・バスでお越しの場合
JR東北本線「利府駅」下車。
利府駅バス停から、宮城交通バス「菅谷台経由」または「青葉台経由」に約１０分乗車。
「菅谷台三丁目」バス停下車。バス停のすぐ後ろの建物です。",5台,,アトリエ　陶の泉,022-767-4531,,,,http://tounoizumi.main.jp/,
042021,0000000265,宮城県,石巻市,旧石巻ハリストス正教会教会堂,キュウイシノマキハリストスセイキョウカイキョウカイドウ,,,宮城県石巻市中瀬3‐18,,38.428814,141.311234,"毎週火曜日（祝日にあたる時はその翌日）
年末年始",,,"9:00～17:00
11月から3月は16:00まで",無料,,明治13年（1880年）に建築された、現存する木造建築の教会としては日本最古のものです。東日本大震災で大きな被害を受けましたが、市民、全国の方々の支援、協力をいただき、平成30年9月に復元工事が完了しました。,,JR石巻駅から徒歩15分,かわまち立体駐車場（2時間無料）または有料駐車場をご利用ください。,,石巻市教育委員会生涯学習課,0225‐95‐1111,,,,https://www.city.ishinomaki.lg.jp/cont/20102500/1482/1482.html,
042021,0000000266,宮城県,石巻市,牧山市民の森,マキヤマシミンノモリ,,,宮城県石巻市湊字中座峰山１,,38.430561,141.330643,12月29日～1月3日,,,8:30～16:30,,,石巻市街地からほど近い場所にある家族連れに人気の公園。ローラー滑り台やパノラマ展望台、そしてアスレチック施設周辺にバーベキューハウスを整備し、山頂まで続く遊歩道では、四季折々に咲く花々を見ながらハイキングを楽しむことができます。,,"（1）JR石巻駅から車で12分
（2）三陸自動車道石巻河南ICから車で20分",あり,,管理事務所,0225‐93‐9702,,,,https://www.city.ishinomaki.lg.jp/cont/10454000/5000/20140702115413.html,
040002,0000000267,宮城県,,牛たん焼き,ギュウタンヤキ,,,宮城県,,,,各スポットによって異なります,,,各スポットによって異なります,各スポットによって異なります,,牛たん焼きは仙台が発祥の地。昭和23年(1948年)に初めての牛たん焼き専門店が生まれ、そこから全国へと広がりました。その味は、今や「仙台名物」としてすっかり定着しています。現在、仙台市内には約100の専門店があるといわれ、人気の高さを物語っています。牛たん焼きは単品でも頼めますが、定番は牛たん焼きと白菜やきゅうりの浅漬けに青唐辛子の味噌漬けを付け合わせ麦飯とテールスープとのセット商品「牛たん焼き定食」です。メニューは一緒でも、使う牛たんの部位や仕込み方など専門店それぞれにこだわりがあります。ただ一つ言えることは、どのお店で食べても牛たん焼きは美味しいということ。十分に熟成させた「たん」を炭火にかけた金網の上でさっと焼き、あつあつをいただきます。適度な歯ごたえとともにジューシーな肉汁が口の中いっぱいにあふれます。※最新情報は各店舗公式サイト等でご確認ください。,,各スポットによって異なります,各スポットによって異なります,,,,,,,,
042021,0000000268,宮城県,石巻市,道の駅「上品の郷」,ミチノエキ「ジョウボンノサト」,,,宮城県石巻市小船越字二子北下1‐1,,38.500893,141.295181,"直売所、フードコート：無休
（臨時休業あり）
ふたごの湯：毎月第4火曜日",,,"【農産物直売所】　9:00～19:00

【フードコート】
ダイニングたまり場　10:00～20:00（L.O19:30）
食事処こばやし　　　10:00～18:00（L.O17:30）

【ふたごの湯】　9:00～21:00（最終受付　20:30）
","【ふたごの湯：入浴料】

大人：平日 600円
　　　土日祝日 750円

小中学生：平日 300円
　　　　　土日祝日 300円

小学生未満：無料",,【お買い物】エコフォーマー認証を受けた農産物や地場産品など、多彩な商品を豊富に取り揃えています。【お食事】フードコートでは「お食事処こばやし」と「ダイニングたまり場」が和・洋・中・アジアンフードの多彩なメニューを取り揃えています。また、全席にコンセントを完備しており、パソコンや携帯電話の充電にお使いいただけます。【温泉】県内でも珍しい含鉄塩化物泉である温泉施設「ふたごの湯」のほか、無料の足湯も併設しております。効能は、きりきず・皮膚病・慢性婦人病等です。,,三陸自動車道河北ＩＣより車で約２分,"大型車11台
普通車231台
身障用3台
EV１台",,道の駅「上品の郷」,0225-62-3670,,,,http://www.joubon.com,
042021,0000000269,宮城県,石巻市,上品山,ジョウボンサン,,,宮城県石巻市三輪田字寄藤地内,,38.511875,141.341217,なし,,,年中無休,,,北上川の南方、硯上山の西に位置する上品山は、仏教用語の極楽浄土を願う修行者の最上位「上品（じょうぼん）」が山名の由来です。風力発電基地として上品山から籠峰山（かごぼうざん）にかけてそびえ立つ６基の巨大風車と、山頂付近にある国土交通省の丸いレーダー施設が目印で、山頂からは、母なる川・北上川の流域に広がる雄大な景色が眺められます。山々を結ぶ全長20キロメートルのハイキングコース「石巻緑のハイキングロード」が整備されており、水沼山への歩きやすい縦走コースもあります。市営牧場では5月上旬から10月下旬まで、牛がのんびり過ごす姿を見ることができます。（放牧中の牧場内への立ち入りはご遠慮願います。）,,"（1）仙石線・石巻線石巻駅からバスで約３５分
（2）三陸自動車道河北ICから車で約２５分
",,,石巻市河北総合支所,0225-62-2114,,,,https://www.city.ishinomaki.lg.jp/cont/10452000b/-kanko/-kankomap/d0080/20130224171342.html,
042021,0000000270,宮城県,石巻市,川の上・百俵館、コメ・カフェ,カワノカミ・ヒャッピョウカン,,,宮城県石巻市小船越字山畑343‐1,,38.505512,141.295471,月曜日,,,10:00～17:00,,,石巻・川の上プロジェクトが「まちを耕し、ひとを育む」という理念のもとに運営する「にぎやかなまちの図書館」です。旧大谷地農協の農業倉庫だった大正時代の建物を改修した趣あるスペースは、本を読んだり借りたりするだけでなく誰もが自由にお茶とおしゃべりを楽しみ、子どもが自由に遊びまわり、楽しいイベントがどんどん開催される、そんなちょっと変わった図書館です。併設するコメ・カフェでは、唐揚げ定食屋カレーライス、ナポリタン等、やさしい味の手作りランチをお楽しみいただけます。また、オリジナルコーヒー（カワノカミ・ブレンド）や、北限のお茶である桃生茶（緑茶）、ビタミン類や必須アミノ酸がたっぷり入っている糀ドリンク「華糀（はなこうじ）」も人気です。看板猫の「たまじろう」が皆様のお越しをお待ちしております。,,"（1）三陸自動車道河北ICから車で約３分
（2）JR石巻線鹿又駅から徒歩で約４０分",追波川河川運動公園の駐車場をご利用ください。,,,0225-24-6625,,,,http://www.kawanokami.com/hyappyokan,
042021,0000000271,宮城県,石巻市,サバだしラーメン,サバダシラーメン,,,宮城県石巻市飯野川商店街及び道の駅「上品の郷」,,38.534061,141.287262,店舗ごとに異なる,,,店舗ごとに異なる,,,石巻専修大学の学生たちが飯野川地区の食文化である「サバだし」に着目し、地元商店や企業と協力してサバで取っただしをベースにした「サバだしラーメン」を考案しました。飯野川商店街などの6店舗で食べられるサバだしラーメンは、塩味か醤油味を選べたり、トッピングもサバの竜田揚げ・つみれ・さつま揚げなど、お店ごとに趣向を凝らしており、様々なバリエーションの味を食べ比べるのもオススメです。2013年9月に発売された家庭用向け商品は、フード・アクション・ジャパンアワード2014「食べて応援しよう！賞」を受賞。道の駅「上品の郷」などで販売しています。,,,,,,,,,,,
042099,0000000272,宮城県,多賀城市,多賀城ビアサミット,タガジョウビアサミット,,,宮城県多賀城市中央2丁目地内（ＪＲ仙石線多賀城駅前公園）,,38.294579,141.005508,,,,,,,多賀城に夏の訪れを告げる大好評イベントです。屋外で冷たいビールやソフトドリンク、地元の食材を使用した軽食の販売が行われるほか、ステージイベントも行われます。日頃の疲れは忘れて、友達や家族、会社仲間などと一緒に乾杯しよう。,,JR仙石線 多賀城駅南口から徒歩1分,,,多賀城市市民経済部商工観光課,022-368-1141,,,,,
042099,0000000273,宮城県,多賀城市,多賀城市立図書館,タガジョウシリツトショカン,,,宮城県多賀城市中央2丁目4-3（多賀城駅北ビルA棟）,,38.291939,141.004868,年中無休,,,9:00～21:30,,,「家」をコンセプトに誰もが行きたくなる環境・居心地の良い空間となっています。じっくりと本を読みたい方、気軽に利用したい方など目的に応じて階層ごとに役割を設け、多くの利用者に親しまれています。また、カフェやレストランなどが併設され、さまざまなイベントやワークショップなどが行われています。,,"JR仙石線 多賀城駅北口から徒歩約1分
三陸自動車道 仙台港北I.C.から車で約10分",351台,,多賀城図書館,022-368-6226,,,,https://tagajo.city-library.jp/,
042099,0000000274,宮城県,多賀城市,東北歴史博物館,トウホクレキシハクブツカン,,,宮城県多賀城市高崎1丁目22-1,,38.299446,140.99408,毎週月曜日（祝・休日の場合はその翌平日）、年末年始（12月29日～1月4日まで）,,,9:30～17:00（観覧券の発行は16:30まで）,"観覧料金（常設展）
・一般（個人）：460円
・一般（団体、20人以上）：360円
・小・中学生・高校生：無料",,東北地方全域を視野に入れた歴史系博物館。旧石器時代から現代までの歴史を中心とした展示、映像上映を行っています。敷地内には、江戸時代の古民家が移築・復元され、東北の伝統文化を幅広く紹介しています。また施設内のこども歴史館では、さまざまな体験を通して歴史を楽しく学ぶことができます。,,"JR東北本線 国府多賀城駅から徒歩1分
三陸自動車道 多賀城I.C.から車で5分",普通車191台・大型バス10台,,東北歴史博物館,022-368-0106,,,,https://www.thm.pref.miyagi.jp/,
042099,0000000275,宮城県,多賀城市,多賀城史遊館,タガジョウシユウカン,,,宮城県多賀城市中央2丁目25-5,,38.296432,141.005417,毎週月曜日、祝日の翌日、年末年始（12月28日から1月4日まで）,,,9:00から16:30（体験学習の受付は15:45まで、展示室の入館は16:00まで）,展示室の見学は無料、体験は一部有料,,さまざまな見学や体験を通して、古代の歴史を学ぶことができる施設です。勾玉や縄文カゴ、らでんマグネットなどの製作体験や、火おこしなど無料の体験メニューもあります。また、縄文時代から江戸時代までの歴史を紹介する展示室や昔の人々の優れた技術などを体験できる体験学習室があり、楽しく歴史を学ぶことができます。,,"JR仙石線 多賀城駅から徒歩10分
三陸自動車道 仙台港北I.C.から車で10分",約10台,,多賀城史遊館,022-368-3127,,,,https://www.city.tagajo.miyagi.jp/maibun/shisetsu/siyuukan.html,
042099,0000000276,宮城県,多賀城市,松島蒲鉾本舗多賀城工場,マツシマカマボコホンポタガジョウコウジョウ,,,宮城県多賀城市八幡字一本柳3-5（さんみらい多賀城・復興団地内）,,38.286121,140.993134,元旦,,,9:30～17:00,かまぼこ手焼体験　250円,,東日本大震災後に整備された「さんみらい多賀城・復興団地」にある蒲鉾工場です。工場ならではの新鮮なすり身を使用した「笹かまぼこ」の手焼き体験ができるほか、かまぼこの製造過程を見学することもできます。,,"JR仙石線 中野栄駅から徒歩約10分
三陸自動車道 仙台港北I.C.から車で約5分",約50台,,松島蒲鉾本舗多賀城工場,022-766-8830,,,,http://www.matsukama.jp/,
042099,0000000277,宮城県,多賀城市,多賀城グルメブランド「しろのむらさき」,タガジョウグルメブランド「シロノムラサキ」,,,宮城県多賀城市内飲食店、小売店等にて販売,,38.293804,141.004364,,,,,,,「しろのむらさき」とは、特産品の古代米を使用した多賀城グルメブランドの総称です。古代米は、一般的なお米に比べてモチモチとした食感があり、ミネラルやビタミン、ポリフェノールの一種であるアントシアニンなどの栄養素を含んでいます。そのため、美味しいだけでなく、美容や健康にもうれしい食材です。現在は、多賀城市内の飲食店で古代米を使用したサラダ、おかゆ、麺、チャーハンなどを提供しているほか、ケーキや和菓子などのスイーツ、お酒、スープなどを商品化しています。お店でじっくり味わいたい自慢の一品から、大切な方へのギフト、ここでしか買えないお土産品まで一堂に揃いました。多賀城市にお越しの際は、ぜひお楽しみいただけたらと思います。,,,,,史都多賀城観光案内所,022-364-5901,,,,https://www.tagakan.jp/shironomurasaki/,
045012,0000000278,宮城県,涌谷町,採燈大護摩供【宮城県涌谷町】,サイトウオオゴマク,,,宮城県遠田郡涌谷町箟岳字平沢地内,,38.56366,141.179565,,,,16:00～,"無料
仏僧に祈願していただく際には1,000円",,　採燈大護摩供は7月第2土曜日に、箟岳山石仏広場において箟峯寺の仏僧たちによって行われます。除災・招福・諸願成就を祈願するため護摩木に願い事を書き、火渡りを行います。見学及び火渡りの一般参加も行っております。令和4年7月16日（土曜日）午後1時より　「奉納芸能」午後4時より　「採燈大護摩供厳修」（火渡り執行）場所：石仏広場,,"JR石巻線涌谷駅より車で20分
東北自動車道古川ICより車で50分",50台,,箟岳山採燈大護摩供奉賛会事務局（箟岳山箟峯寺（ののだけさんこんぽうじ）内）,0229-45-2251,,,,http://www.town.wakuya.miyagi.jp/sangyo/kanko/event/gomaku.html,
044211,0000000279,宮城県,大和町,船形山,フナガタヤマ,,,宮城県黒川郡大和町,,38.437328,140.886307,,,,,,,宮城県と山形県にまたがる船形山は、地形、植生等の変化に富んでいて、両県の県自然公園に指定されています。秋の紅葉時期になるとブナなどの植物が、山肌を赤く染め上げます。大和町からの登山コースとして「升沢コース」があります。大和町吉岡から車で４０分ほどの升沢キャンプ場が入山口となっており、そこから頂上までは７．６kmの道のりです。,,東北自動車道大和ICより車で約４０分,あり,,大和町商工観光課,０２２?３４５?１１８４,,,,https://www.town.taiwa.miyagi.jp/site/kanko/4389.html,
046060,0000000280,宮城県,南三陸町,海藻ワークショップ「オリジナルふりかけ作り体験」,カイソウワークショップオリジナルフリカケヅクリタイケン,,,宮城県本吉郡南三陸町戸倉字長清水9-3,,38.634148,141.445236,不定休,,,"午前の部　10：00～11：30
午後の部　14：00～15：30","大人2,500円
子供2,500円
団体（10名様～）※要相談",,海藻たちが育つ志津川湾や南三陸町ってどんな特徴があるの。三陸産海藻の美味しさの秘密は？海藻の栄養効果ってなんだろう。<br>そんな海藻のイロハを紙芝居を使って楽しくご説明。紙芝居の後は、海藻をたっぷり使った「ソフトふりかけ」を手作りします。<br>海藻の具材をお好みに合わせてブレンドできるので、世界でたった一つのオリジナル作品が作れますよ。,,三陸自動車道志津川ICから車で20分,,,たみこの海パック　代表　阿部民子,0226-46-9661,,,,https://www.tamipack.jp/,
045012,0000000281,宮城県,涌谷町,わくや産直センター黄金の郷【宮城県涌谷町】,ワクヤサンチョクセンタークガネノサト,,,宮城県遠田郡涌谷町涌谷字中江南222,,38.539494,141.15094,"第2,4水曜日",,,9:30～18:00（※新型コロナウイルスの感染拡大防止のため16：00）,,,"　涌谷町内の農家を中心とした会員が生産した野菜や果物、米、加工品、生け花を数多く産地直売しています。店内は活気にあふれ、販売を担当する元気な女性スタッフ達も名物の一つです。<a href=""https://www.tohokukanko.jp/sozaishu/detail_1001634.html"">わくや天平の湯</a>にお越しくださった際にぜひ、こちらの直売所にもお越しください。最新の営業時間はHPをご覧ください。",,"JR石巻線涌谷駅より車で10分
東北自動車道古川ICより車で40分
",300台,,わくや産直センター黄金の郷,0229-43-6363,,,,http://www.town.wakuya.miyagi.jp/sangyo/nogyo/suishin/santyoku.html,
046060,0000000282,宮城県,南三陸町,サンオーレそではま海水浴場,サンオーレソデハマカイスイヨクジョウ,,,宮城県本吉郡南三陸町志津川字袖浜地内,,38.673557,141.46434,,,,9：30～16：00（遊泳時間）,,,平成11年7月に人工海水浴場としてオープンした「サンオーレそではま」。<br>東日本大震災により敷地内の施設および砂浜が全て流出しましたが、周辺の漁港や道路の整備が進み、H29年7月、7年の歳月を経て再オープンしました。<br>「サンオーレ」という名前は砂浜の全長（300ｍ）に由来しています。内湾に位置する海水浴場のため、波が非常におだやかで小さい子どもたちも安心して泳げます。また、周辺を囲む山々と志津川湾とのコントラストが美しい海水浴場として、地域住民にとっても長く愛される憩いの場になっています。,,三陸自動車道志津川ICから車で8分,有,,南三陸町商工観光課,0226-46-1385,,,,https://www.m-kankou.jp/,
045012,0000000283,宮城県,涌谷町,ゲストハウス　あんだあも【宮城県涌谷町】,ゲストハウス　アンダアモ,,,宮城県遠田郡涌谷町字新町裏134-1,,38.539017,141.12796,,,,,"宿泊
ドミトリー1泊3,000円（税込み）
和室1泊
1名利用　6,000円（税込み）
2名利用　8,000円（税込み）
3名利用 10,500円（税込み）",,　2020年4月10日にオープンした涌谷町の新しい宿泊施設（ゲストハウス）になります。　カフェも併設されており、宿泊以外にも団らんの場としてもご利用いただけます。であう、つながるがコンセプトとなっておりますので皆様ぜひ当町にお越しの際はご利用くださいませ。,,"JR石巻線涌谷駅より徒歩1分
東北自動車道古川ICより車で35分",10台,,ゲストハウス　あんだあも,0229-25-3750,,,,https://andarmo.com/,
046060,0000000284,宮城県,南三陸町,オクトパス君絵付け体験,オクトパスクンエヅケタイケン,,,宮城県本吉郡南三陸町入谷字中の町227,,38.693619,141.397659,水曜日,,,"平日　　9：00～17：00
土日祝　9：00～16：00","2,500円",,南三陸町特産「タコ」をモチーフにした「オクトパス君」。その名のとおり「置くと ( 試験に ) パスする」縁起ものとして特に受験生に大人気です。<br>思わず肩の力が抜けてしまうような駄洒落なネーミングと、円らな瞳が可愛らしく、不安と緊張の中にある受験生に、つかの間の笑顔と元気をお届けするにはぴったりのアイテム。もちろん受験生でなくても、きっと良いご縁を運んできてくれますよ。<br>そんなオクトパス君に心を込めて色を塗り、瞳を描き、命を吹き込んでみませんか。,,三陸自動車道志津川ICから車で5分,有,,南三陸町復興ダコの会,0226-46-5153,,,,http://ms-octopus.jp/,
045012,0000000285,宮城県,涌谷町,わくやの宿　研修館【宮城県涌谷町】,ワクヤノヤド　ケンシュウカン,,,宮城県遠田郡涌谷町涌谷字中江南278,,38.540417,141.148102,,,,9:00～21:00,"和室（4室）
大人1人2,750円
子供1人1,370円

和室（5室）
大人1人4,400円
子供1人2,200円",,　「研修館」は町民の研修・学習・仲間づくりの場として利用されていますが町外の方でもお気軽に利用できます。宿泊施設以外に、トレーニングルームを備えております。またご宿泊の方は、わくや天平の湯の大浴場が無料で入浴可能となります。涌谷町にお越しの際はぜひ研修館にも足をお運びください。,,"JR石巻線涌谷駅より車で10分
東北自動車道古川ICより車で40分",100台,,わくやの宿　研修館,0229-43-5200,,,,http://tenpyou.com/shukuhaku.html,
046060,0000000286,宮城県,南三陸町,南三陸で化石発掘体験,ミナミサンリクデカセキハックツタイケン,,,宮城県本吉郡南三陸町歌津字管の浜57番地1,,38.725231,141.519775,"みなさん館：月曜日、年末年始
体験活動：不定休",,,"みなさん館：9:00～18:00（冬季17:00まで）
体験時間：13:00～14:30","2,300円",,"南三陸町歌津地区は、約2億4,000万～2億5,000万年前の三畳紀の海に生息していた世界最古級の「魚竜」の化石が発見され、天然記念物に指定された地域です。またアンモナイトやここにしかない化石が多数発掘される場所でもあります。<br>化石の知識初心者の方も、講師が優しく楽しく魚竜や化石の魅力についてお伝えします。目指せ化石博士！",,三陸自動車道歌津北ICから車で7分,有,,みなさん館（みなみさんりく発掘ミュ－ジアム）,0226-36-2816,,,,https://www.m-kankou.jp/,
044211,0000000287,宮城県,大和町,升沢自然遊歩道,マスザワシゼンユウホドウ,,,宮城県黒川郡大和町吉田字升沢,,38.457474,140.747726,,,,,,,旗坂キャンプ場から旧升沢集落側に向けての５kmほどのコース。ブナやサワグルミの原生林をぬうように続く遊歩道で、滝や断崖、沼など自然豊かな景観を楽しめます。夏は渓流の心地よい涼しさ、秋は素晴らしい紅葉が迎えてくれます。,,東北自動車道ICより車で約４０分,あり,,大和町商工観光課,０２２?３４５?１１８４,,,,https://www.town.taiwa.miyagi.jp/map/kanko/1544.html,
